id,audio_sec,true_text,pred_text,cer,wer,latency_sec,rtf,cpu_pct,ram_mb,sys_ram_pct
011_K00013347-BMG30-L1N2D1-E-K0KK-02305822,5.12,방학이라도 매일 학원을 가야하니 방학이 방학 같지 않다,방학이라도 매일 학원을 가야 아니 방학에 방학 같지 않다,0.1,0.375,2.516580820083618,0.4915196914225817,17.616666666666667,497.625,82.4
011_K00013347-BMG30-L1N2D1-E-K0KK-02306126,4.096,이빨에 마취를 하니 오른쪽 턱에 감각이 없다,이빨에 마치를 하니 오른쪽 타기 감각이 없다,0.125,0.2857142857142857,2.054429292678833,0.5015696515329182,21.805555555555557,514.2578125,82.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02306437,4.096,오늘 밤 꿈속에서 국어시험 백 점 맞는 꿈을 꾸었다,오늘 밤 꿈속에서 9월 시간 100점 맞는 꿈을 꾸었다,0.25,0.3333333333333333,2.1499440670013428,0.5248886882327497,21.822222222222223,514.66015625,83.0
011_K00013347-BMG30-L1N2D1-E-K0KK-02307700,6.144,수업시간에 친구들과 번갈아 일기 릴레이를 했는데 가슴이 콩닥콩닥 거렸다,수업시간의 친구들과 번갈아의 읽기 릴레이를 했는데 가슴이 콩닥콩닥거렸다,0.10256410256410256,0.5555555555555556,2.344895839691162,0.38165622390806675,21.783333333333335,500.43359375,82.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02308156,6.144,어머니가 새벽에 일어나셔서 김밥을 싸 주셨는데 진짜 맛있었다,어머니가 새벽에 일어나셔서 김밥을 싸주셨는데 진짜 맛있었다,0.030303030303030304,0.25,2.087353229522705,0.3397384813676278,21.733333333333334,515.796875,83.0
011_K00013347-BMG30-L1N2D1-E-K0KK-02675884,7.168,일본 유니버셜스튜디오에는 해리포터 구역이 따로 있어서 내가 책 속의 주인공이 된 느낌이다,일본 유니버저 스튜디오 뒤에 있는 해리포터 구역이 따로 있어서 내가 책 속의 주인공이 된 느낌이다,0.12244897959183673,0.3333333333333333,2.374620199203491,0.3312807197549513,21.827777777777776,501.3984375,82.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02677756,4.096,치과에 가서 교정 진료를 받았다,직화에 가서 교정 진료를 받았다,0.11764705882352941,0.2,2.017702341079712,0.49260311061516404,21.711111111111112,513.703125,82.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02678220,5.12,"이번 시간에는 ""고무줄 마술"" 이라는 책을 읽고 고무줄로 직접 마술을 해 보았다",이번 시간에는 고모즐 마술이라는 책을 읽고 고모즐로 직접 마술을 해봤다,0.22727272727272727,0.5,2.2543578147888184,0.4403042607009411,22.033333333333335,499.20703125,82.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02679103,7.168,스케이트를 처음 탈 때 내 발과 스케이트가 맞지 않아 물집이 생겨 고생했던 적이 있다,스케이트를 처음 달 때 내 발과 스케이트가 맞지 않아 물집에 생겨 고생했던 적이 있다,0.0425531914893617,0.14285714285714285,2.2219462394714355,0.3099813392119748,21.91111111111111,498.80859375,82.8
011_K00013347-BMG30-L1N2D1-E-K0KK-02679218,8.192,지금은 스케이트를 제법 잘 타서 하루 종일 스케이트 신발을 신고 얼음 위에서 재미있게 놀 수 있다,지금은 스케이트를 제법 잘 타서 하루 종일 스케이트 신발을 신고 얼음 위에서 재미있게 놀 수 있다,0.0,0.0,2.3092329502105713,0.2818887878675014,21.672222222222224,500.8359375,82.8
011_K00013347-BMG30-L1N2D1-E-K0KK-02679264,6.144,그래도 오랜만에 타는 스케이트라서 조심해서 빙판을 천천히 나아갔다,그래도 오랜만에 타는 스케이트라서 조심해서 빙판을 천천히 나아갔다,0.0,0.0,2.118976593017578,0.3448855131864548,21.97222222222222,496.7890625,82.8
011_K00013347-BMG30-L1N2D1-E-K0KK-02823700,4.096,학교에서 양평에 있는 수목원으로 체험학습을 간다,학교에서 양평에 있는 스모건으로 체험학습을 간다,0.11538461538461539,0.16666666666666666,2.060340166091919,0.5030127358622849,21.9,496.62890625,82.7
011_K00013347-BMG30-L1N2D1-E-K0KK-02824385,5.12,주말에는 엄마아빠 동생과 한강공원에 자전거를 타러 가기로 했다,주말에는 엄마 아빠 동생과 한강공원에 자전거를 타러 가기로 했다,0.029411764705882353,0.25,2.195908546447754,0.42888838797807693,22.061111111111114,498.1484375,82.7
011_K00013347-BMG30-L1N2D1-E-K0KK-02825095,6.144,가끔 산에서 새들이 날아 와 우리 과수원의 과일들을 쪼아 먹었다,가끔 산에서 새들이 날아와 우리 과수언니 과일들을 쫓아 먹었다,0.11428571428571428,0.4,2.1821811199188232,0.355172708320121,21.866666666666667,496.97265625,82.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02825322,5.12,나는 해가 뜨고 나서부터 질 때까지 열심히 공부를 했다,나는 해가 뜨고 나서부터 질 때까지 열심히 공부를 했다,0.0,0.0,2.084285020828247,0.407086918130517,21.977777777777778,515.328125,83.0
011_K00013347-BMG30-L1N2D1-E-K0KK-02826260,5.12,동생이 미술학원을 간다 해서 학원 앞에까지 데려다 줬다,동생이 미술 학원을 간다 해서 학원 앞에까지 데려다 줬다,0.03333333333333333,0.25,2.2032310962677,0.4303185734897852,21.866666666666667,496.87109375,83.6
011_K00013347-BMG30-L1N2D1-E-K0KK-02826345,5.12,지우개와 연필은 환상의 짝꿍이라서 항상 필통 속에 함께 있다,6의 연필을 환상의 짝꿍 이라도 항상 필통 속에 함께 있다,0.21212121212121213,0.4444444444444444,2.432629346847534,0.475122919306159,21.905555555555555,496.87890625,83.6
011_K00013347-BMG30-L1N2D1-E-K0KK-02827788,5.12,강낭콩은 밥에 넣어서 먹는데 집에서 잘 심어서 키우고 싶다,방남 콩은 밥에 넣어서 먹는데 집에서 잘 심어서 키우고 싶다,0.09375,0.2222222222222222,2.278301239013672,0.4449807107448578,21.438888888888886,496.43359375,81.8
011_K00013347-BMG30-L1N2D1-E-K0KK-02836172,5.12,다음에는 아빠하고도 맛있게 삼겹살을 구워서 함께 먹었으면 좋겠다,다음에는 아빠하고도 맛있게 삼겹살을 구워서 함께 먹었으면 좋겠다,0.0,0.0,2.162273406982422,0.4223190248012543,21.75,514.21875,81.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02836296,5.12,다음에는 엄마께 더 많이 볶음밥을 해 달라고 해야겠다,다음엔 엄마께 더 많이 볶음밥을 해달라고 해야겠다,0.10344827586206896,0.375,2.104414463043213,0.4110184498131275,21.65,515.24609375,81.8
011_K00013347-BMG30-L1N2D1-E-K0KK-03064944,9.216,내 방에 짐을 정리하고 보니 연필 지우개 등의 학용품들과 내가 가장 좋아하는 인형들이 가득했다,내 방에 짐을 정리하고 보니 연필 지우개 등의 학여풍들과 내가 가장 좋아하는 이 형들이 가득했다,0.07692307692307693,0.21428571428571427,2.4269068241119385,0.2633362439357572,22.044444444444444,501.48828125,81.0
011_K00013347-BMG30-L1N2D1-E-K0KK-03064974,6.144,내일은 현충일인데 순국선열들과 애국 장병들을 기리는 날이다,내일은 현충인인데 승국 선열들과 애걱 장병들을 길이는 날이다,0.1875,0.7142857142857143,2.178500175476074,0.3545735962688923,21.788888888888888,498.09765625,81.0
011_K00013347-BMG30-L1N2D1-E-K0KK-03065233,6.144,주말이 지나면 이틀 동안 물이 없는 것인데 혹시 죽을까 봐 걱정이다,주말이 지남이 이틀 동안 무려 없는 것인데 혹시 죽을까봐 걱정이다,0.13513513513513514,0.36363636363636365,2.1389007568359375,0.34812837839126587,21.938888888888886,498.09375,81.1
011_K00013347-BMG30-L1N2D1-E-K0KK-03065299,8.192,그런데 월요일에 엄마께서 메르스 때문에 학교를 쉬게 해 주셔서 좋기는 하였는데 강낭콩이 걱정돼서 불안했다,그런데 월요일에 엄마께서 메르스 때문에 학교를 시계해주셔서 좋기는 하였는데 강남콩이 걱정돼서 불안했다,0.08620689655172414,0.2857142857142857,2.385594367980957,0.2912102499976754,21.716666666666665,503.08984375,81.1
011_K00013347-BMG30-L1N2D1-E-K0KK-03065973,8.192,이사를 하기 전에는 우리 아파트 뒤쪽에 있어서 걸어갔었는데 지금은 이사를 하여서 차를 가지고 갔다,이사를 하기 전에는 우리 아파트 뒤쪽에 있어서 걸어갔었는데 지금은 이사를 하여서 차를 가지고 왔다,0.018518518518518517,0.07142857142857142,2.337897300720215,0.2853878540918231,21.08888888888889,499.30078125,81.0
011_K00013347-BMG30-L1N2D1-E-K0KK-03066333,6.144,유앤아이에서 드리블 슛 패스 등을 배우고 경기도 해 보았다,sni에서 드립을 슛패스 등을 배우고 경기도 해보았다,0.25,0.6666666666666666,2.1712253093719482,0.35338953603059053,21.75,496.58203125,81.0
011_K00013347-BMG30-L1N2D1-E-K0KK-03066369,5.12,방학이라 가족들이랑 용인에 있는 캐리비안베이에 놀러 갔다,다하기라 가족두유랑 용인이 있는 캐리비한비에 놀러갔다,0.3225806451612903,0.8571428571428571,2.1247153282165527,0.41498346254229546,21.62222222222222,496.50390625,80.9
011_K00013347-BMG30-L1N2D1-E-K0KK-03067968,7.168,요즘 우리 가족은 고기를 많이 먹는데 소고기 돼지고기 등 부위 별로 다양하게 먹는다,요즘 우리 가족은 고기를 많이 먹는데 소고기 돼지고기 등 부위 별로 다양하게 먹는다,0.0,0.0,2.1897330284118652,0.3054873086512089,21.711111111111112,498.1328125,80.9
011_K00013347-BMG30-L1N2D1-E-K0KK-03067996,6.144,그때가 내가 세 살 때라고 하니 참 오래전부터 다녔던 고깃집이다,그때가 내가 3살 때라고 하니 참 오래전부터 다녔던 고깃집이다,0.05714285714285714,0.2,2.1731889247894287,0.35370913489411276,21.75,496.58984375,80.9
011_K00013347-BMG30-L1N2D1-E-K0KK-03075873,5.12,몇 년 전에는 조수미 콘서트를 해서 부모님께서 다녀오셨다,면전전에는 조수미 콘서트를 해서 부모님께서 다녀오셨다,0.12903225806451613,0.375,2.1909103393554688,0.427912175655365,21.75,496.5078125,81.2
011_K00013347-BMG30-L1N2D1-E-K0KK-03076181,5.12,물론 공부도 열심히 하고 친구들과도 잘 지내도록 할 것이다,물론 공부도 열심히 하고 친구들과도 잘 지내도록 할 것이다,0.0,0.0,2.17398738861084,0.42460691183805466,21.433333333333334,515.0390625,81.6
011_K00013347-BMG30-L1N2D1-E-K0KK-03076573,16.384,수학 시험 때는 항상 긴장하는데 문제도 어렵지만 채점을 할 때 느끼는 긴장감이 매우 크다,수학 시험 때는 항상 긴장하는데 문제도 어렵지만 최점을 할 때 느끼는 긴장감에 매우 크다,0.04081632653061224,0.14285714285714285,2.3449089527130127,0.1431218843208626,22.01111111111111,501.23046875,81.5
011_K00013347-BMG30-L1N2D1-E-K0KK-03077377,8.192,그렇지만 선생님이 수업 시간에 재미있는 이야기도 많이 해 주시고 먼저 다가와 말도 걸어 주셔서 이제는 어색하지 않다,그렇지만 선생님이 수업시간에 재미있는 이야기도 많이 해주시고 먼저 다가와 말도 걸어주셔서 이제는 어색하지 않다,0.046875,0.35294117647058826,2.347290277481079,0.28653445770032704,21.672222222222224,500.58203125,81.5
011_K00013347-BMG30-L1N2D1-E-K0KK-03131394,7.168,다른 가정과는 달리 우리 집은 고기를 아주 많이 먹는데 보통 하루에 일 킬로그램 정도는 항상 먹는다,다른 가정과는 달리 우리 집은 고기를 아주 많이 먹는데 보통 하루 1kg 정도는 항상 먹는다,0.12727272727272726,0.1875,2.231905221939087,0.3113707061856985,21.91111111111111,498.640625,81.3
011_K00013347-BMG30-L1N2D1-E-K0KK-03134473,8.192,내가 먼저 그렇게 모범을 보이면 우리 반 친구들이 서로 싸우는 일이 없이 행복하게 지낼 수 있을 것 같다,내가 먼저 그렇게 모범을 보이면 우리 반 친구들이 서로 싸우는 일이에요 없이 행복하게 지낼 수 있을 것 같다,0.034482758620689655,0.05555555555555555,2.3010952472686768,0.28089541592635214,21.77777777777778,499.8984375,81.4
