id,audio_sec,true_text,pred_text,cer,wer,latency_sec,rtf,cpu_pct,ram_mb,sys_ram_pct
011_K00013347-BMG30-L1N2D1-E-K0KK-02305822,5.12,방학이라도 매일 학원을 가야하니 방학이 방학 같지 않다,방학이라도 매일 학원을 가야 많이 방학에 방학 같지 않다,0.13333333333333333,0.375,2.159867525100708,0.42184912599623203,19.83888888888889,532.38671875,91.0
011_K00013347-BMG30-L1N2D1-E-K0KK-02306126,4.096,이빨에 마취를 하니 오른쪽 턱에 감각이 없다,이빨에 마치를 하니 오른쪽 타기 감각이 없다,0.125,0.2857142857142857,2.0738611221313477,0.5063137505203485,21.555555555555557,541.85546875,89.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02306437,4.096,오늘 밤 꿈속에서 국어시험 백 점 맞는 꿈을 꾸었다,오늘밤 꿈속에서 구것이면 백 점 맞는 꿈을 꾸었다,0.17857142857142858,0.3333333333333333,2.0921196937561035,0.5107714096084237,21.938888888888886,533.05859375,89.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02307700,6.144,수업시간에 친구들과 번갈아 일기 릴레이를 했는데 가슴이 콩닥콩닥 거렸다,수업시간의 친구들과 번갈의 읽기 릴레이를 했는데 가슴이 콩닥콩닥거렸다,0.10256410256410256,0.5555555555555556,2.769716262817383,0.45080017298460007,21.072222222222223,535.9609375,89.9
011_K00013347-BMG30-L1N2D1-E-K0KK-02308156,6.144,어머니가 새벽에 일어나셔서 김밥을 싸 주셨는데 진짜 맛있었다,어머니가 새벽에 일어나셔서 김밥을 싸주셨는데 진짜 맛있었다,0.030303030303030304,0.25,2.773789405822754,0.45146311943729717,21.87777777777778,533.359375,90.6
011_K00013347-BMG30-L1N2D1-E-K0KK-02675884,7.168,일본 유니버셜스튜디오에는 해리포터 구역이 따로 있어서 내가 책 속의 주인공이 된 느낌이다,일본 유니버주 스튜디오 뒤에는 헤리포터 구역이 따로 있어서 내가 책 속의 주인공이 된 느낌이다,0.10204081632653061,0.3333333333333333,3.20514178276062,0.4471458960324526,20.9,536.9453125,90.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02677756,4.096,치과에 가서 교정 진료를 받았다,지커에 가서 교정 진료를 받았다,0.11764705882352941,0.2,2.7375028133392334,0.6683356477878988,21.433333333333334,544.55859375,90.6
011_K00013347-BMG30-L1N2D1-E-K0KK-02678220,5.12,"이번 시간에는 ""고무줄 마술"" 이라는 책을 읽고 고무줄로 직접 마술을 해 보았다",이번 시간에는 고모들 마술이라는 책을 읽고 고모들로 직접 마술을 해보았다,0.18181818181818182,0.5,2.925243377685547,0.5713365972042084,21.62777777777778,535.37109375,90.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02679103,7.168,스케이트를 처음 탈 때 내 발과 스케이트가 맞지 않아 물집이 생겨 고생했던 적이 있다,스키트를 처음 달 때 내 발과 스키�트가 맞지 않아 물집에 생겨 고생했던 적이 있다,0.1276595744680851,0.2857142857142857,2.8488221168518066,0.39743612121258465,21.677777777777777,535.62109375,90.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02679218,8.192,지금은 스케이트를 제법 잘 타서 하루 종일 스케이트 신발을 신고 얼음 위에서 재미있게 놀 수 있다,증금은 스케이트를 제법 잘 타서 하루 종일 스케이트 신발을 신고 얼음 위에서 재미있게 놀 수 있다,0.018518518518518517,0.0625,3.0269410610198975,0.36949964123778045,21.633333333333333,537.98828125,90.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02679264,6.144,그래도 오랜만에 타는 스케이트라서 조심해서 빙판을 천천히 나아갔다,그래도 오랜만에 타는 스케이트라서 조심해서 빙판을 천천히 나아갔다,0.0,0.0,3.019378662109375,0.4914353291193644,21.25,535.328125,91.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02823700,4.096,학교에서 양평에 있는 수목원으로 체험학습을 간다,학교에서 양평이 있는 스무 건으로 체험학습을 간다,0.19230769230769232,0.5,2.6685314178466797,0.6514969281852245,21.577777777777776,533.72265625,91.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02824385,5.12,주말에는 엄마아빠 동생과 한강공원에 자전거를 타러 가기로 했다,주말에는 엄마 아빠 동생과 한강공원에 자전거를 타러 가기로 했다,0.029411764705882353,0.25,2.845061779022217,0.5556761287152767,21.305555555555557,535.72265625,91.2
011_K00013347-BMG30-L1N2D1-E-K0KK-02825095,6.144,가끔 산에서 새들이 날아 와 우리 과수원의 과일들을 쪼아 먹었다,가끔 산에서 새들이 날아와 우리 과수언니의 과일들을 쫓아 먹었다,0.11428571428571428,0.4,2.961484670639038,0.4820124789451559,20.76111111111111,533.91015625,91.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02825322,5.12,나는 해가 뜨고 나서부터 질 때까지 열심히 공부를 했다,나는 해가 뜨거워 나서부터 질 때까지 열심히 공부를 했다,0.06666666666666667,0.1111111111111111,2.664790391921997,0.520466873422265,21.288888888888888,534.890625,91.5
011_K00013347-BMG30-L1N2D1-E-K0KK-02826260,5.12,동생이 미술학원을 간다 해서 학원 앞에까지 데려다 줬다,동생이 미술 학원을 간다 해서 학원 앞에까지 데려다 줬다,0.03333333333333333,0.25,2.8192665576934814,0.5506379995495081,21.516666666666666,535.22265625,91.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02826345,5.12,지우개와 연필은 환상의 짝꿍이라서 항상 필통 속에 함께 있다,유계의 연필은 환상의 짝꿍이라서 항상 필통 속에 함께 있다,0.12121212121212122,0.1111111111111111,2.7834088802337646,0.5436345469206572,21.72222222222222,535.2734375,91.4
011_K00013347-BMG30-L1N2D1-E-K0KK-02827788,5.12,강낭콩은 밥에 넣어서 먹는데 집에서 잘 심어서 키우고 싶다,장난콩은 밥에 넣어서 먹는 데 집에서 잘 심어서 키우고 싶다,0.09375,0.3333333333333333,2.7081992626190186,0.5289451684802771,21.75,535.28515625,91.3
011_K00013347-BMG30-L1N2D1-E-K0KK-02836172,5.12,다음에는 아빠하고도 맛있게 삼겹살을 구워서 함께 먹었으면 좋겠다,다음에는 아빠하고도 맛있게 삼겹살을 구워서 함께 먹었으면 좋겠다,0.0,0.0,2.7831854820251465,0.5435909144580364,21.788888888888888,533.86328125,90.7
011_K00013347-BMG30-L1N2D1-E-K0KK-02836296,5.12,다음에는 엄마께 더 많이 볶음밥을 해 달라고 해야겠다,다음엔 엄마께 더 많이 볶음밥을 해달라고 해야겠다,0.10344827586206896,0.375,2.6520280838012695,0.5179742351174355,21.727777777777778,533.81640625,90.6
011_K00013347-BMG30-L1N2D1-E-K0KK-03064944,9.216,내 방에 짐을 정리하고 보니 연필 지우개 등의 학용품들과 내가 가장 좋아하는 인형들이 가득했다,내 방에 짐을 정리하고 보니 연필 지우개 등의 학여풍들과 내가 가장 좋아하는 이 형들이 가득했다,0.07692307692307693,0.21428571428571427,2.953791856765747,0.32050692890253335,21.583333333333332,537.12109375,90.5
011_K00013347-BMG30-L1N2D1-E-K0KK-03064974,6.144,내일은 현충일인데 순국선열들과 애국 장병들을 기리는 날이다,네일은 현충인인데 송국 선열들과 애국 장병들을 길이는 날이다,0.1875,0.7142857142857143,2.829998254776001,0.46061169511328137,22.005555555555556,536.90625,90.2
011_K00013347-BMG30-L1N2D1-E-K0KK-03065233,6.144,주말이 지나면 이틀 동안 물이 없는 것인데 혹시 죽을까 봐 걱정이다,주말이 지남 이틀 동안 무려 없는 것인데 혹시 죽을까 봐 걱정이다,0.10810810810810811,0.18181818181818182,2.7378673553466797,0.4456164315342903,21.694444444444443,535.04296875,90.2
011_K00013347-BMG30-L1N2D1-E-K0KK-03065299,8.192,그런데 월요일에 엄마께서 메르스 때문에 학교를 쉬게 해 주셔서 좋기는 하였는데 강낭콩이 걱정돼서 불안했다,그런데 월요일에 엄마께서 메르스 때문에 학교를 시계해 주셔서 좋기는 하였는데 강남콩이 걱정돼서 불안했다,0.06896551724137931,0.21428571428571427,3.4082212448120117,0.4160426324233413,21.63888888888889,537.32421875,91.0
011_K00013347-BMG30-L1N2D1-E-K0KK-03065973,8.192,이사를 하기 전에는 우리 아파트 뒤쪽에 있어서 걸어갔었는데 지금은 이사를 하여서 차를 가지고 갔다,이사를 하기 전에는 우리 아파트 뒤쪽에 있어서 걸어갔었는데 지금은 이사를 아여서 차를 가지고 왔다,0.037037037037037035,0.14285714285714285,3.1836111545562744,0.3886244085151702,21.48888888888889,536.80859375,91.8
011_K00013347-BMG30-L1N2D1-E-K0KK-03066333,6.144,유앤아이에서 드리블 슛 패스 등을 배우고 경기도 해 보았다,시엔하이에서 드립을 슛패스 등을 배우고 경기도 해보았다,0.21875,0.6666666666666666,2.770561695098877,0.4509377758949995,21.966666666666665,536.921875,91.5
011_K00013347-BMG30-L1N2D1-E-K0KK-03066369,5.12,방학이라 가족들이랑 용인에 있는 캐리비안베이에 놀러 갔다,다하기라 가족들이랑 용인의 있는 캐리비암비에 놀러 갔다,0.22580645161290322,0.42857142857142855,2.7767467498779297,0.5423333495855331,21.76111111111111,535.4296875,90.8
011_K00013347-BMG30-L1N2D1-E-K0KK-03067968,7.168,요즘 우리 가족은 고기를 많이 먹는데 소고기 돼지고기 등 부위 별로 다양하게 먹는다,요즘 우리 가족은 고기를 많이 먹는데 소고기 돼지고기 등 부위 별로 다양하게 먹는다,0.0,0.0,2.8229172229766846,0.39382215722330977,21.694444444444443,536.171875,90.8
011_K00013347-BMG30-L1N2D1-E-K0KK-03067996,6.144,그때가 내가 세 살 때라고 하니 참 오래전부터 다녔던 고깃집이다,그때가 내가 세 살 때라고 하니 참 오래 전부터 다녔던 고깃집이다,0.02857142857142857,0.2,2.6450796127319336,0.43051425988475484,21.538888888888888,535.578125,90.5
